,Headlines,Time,Sentiment
660,Cramer: These stocks worked during Clinton's impeachment process and can work during Trump's," 7:36  PM ET Wed, 18 Dec 2019",5
661,Cramer's lightning round: Microsoft CEO Satya Nadella is 'doing such an amazing job'," 6:58  PM ET Wed, 18 Dec 2019",5
663,"History is on investors' side when it comes to impeachment, Jim Cramer says"," 7:22  PM ET Wed, 18 Dec 2019",1
664,Jim Cramer: 'It's a mistake to freak out about the impeachment process'," 7:20  PM ET Wed, 18 Dec 2019",1
665,"Everything Jim Cramer said on 'Mad Money,' including housing recovery, Eli Lilly CEO, bargain stocks","11:57  AM ET Wed, 18 Dec 2019",5
666,One chart signal suggests Microsoft's mega rally could be coming to an end," 7:47  AM ET Wed, 18 Dec 2019",1
667,Cramer's lightning round: Don't own Ford — own the stock of Tesla," 7:15  PM ET Tue, 17 Dec 2019",1
668,"Shopify, Nvidia and PayPal shares all have 'more room to run,' Jim Cramer says"," 6:34  PM ET Tue, 17 Dec 2019",5
670,Elizabeth Warren claims Eli Lilly failed on cheaper insulin. CEO says 'nonsense'," 6:34  PM ET Tue, 17 Dec 2019",1
671,"Jim Cramer: Housing data show we've 'finally, finally, finally recovered' from the Great Recession"," 6:31  PM ET Tue, 17 Dec 2019",4
672,"Everything Jim Cramer said on 'Mad Money,' including China ag buys, Warren's 2020 odds, Bill.com IPO"," 7:21  PM ET Mon, 16 Dec 2019",5
673,Cramer's lightning round: Boeing may fall below $300 a share," 6:48  PM ET Mon, 16 Dec 2019",1
674,Jim Cramer names the price to buy newly-public fintech Bill.com 'very aggressively'," 6:54  PM ET Mon, 16 Dec 2019",5
675,Cramer: Keep cash on hand as 'insurance' against a Warren victory in 2020," 6:25  PM ET Mon, 16 Dec 2019",4
676,"Jim Cramer: China often reneges on deals, but 'this one feels different'"," 6:24  PM ET Mon, 16 Dec 2019",3
677,"Everything Jim Cramer said on 'Mad Money,' including earnings reports, Costco's China problem"," 6:58  PM ET Fri, 13 Dec 2019",5
678,"Cramer's lightning round: Gannett — 'Forget it, Jake. It's newspapers'"," 6:46  PM ET Fri, 13 Dec 2019",1
679,Cramer: Costco has a China problem — and it's not tariffs," 6:45  PM ET Fri, 13 Dec 2019",1
680,Cramer's week ahead: China trade deal let's us focus on some big earnings reports," 6:31  PM ET Fri, 13 Dec 2019",3
681,"Everything Jim Cramer said on 'Mad Money,' including trade deal stocks, Robinhood fractional shares"," 7:23  PM ET Thu, 12 Dec 2019",5
682,"More than 200,000 signed up for fractional stock trading on day one, Robinhood co-CEO says"," 6:58  PM ET Thu, 12 Dec 2019",1
683,Cramer's lightning round: Let Alteryx come down further," 6:46  PM ET Thu, 12 Dec 2019",4
685,Jim Cramer: 'I almost hope China reneges' on its trade promises," 6:56  AM ET Fri, 13 Dec 2019",1
686,Jim Cramer reveals a list of stocks worth buying on a US-China trade deal," 6:54  PM ET Thu, 12 Dec 2019",4
687,"Art Hogan sees S&P 500 making double-digit gains in 2020, led by 3 groups","10:19  AM ET Thu, 12 Dec 2019",5
688,Art Hogan sets 2020 price target," 9:23  AM ET Thu, 12 Dec 2019",5
689,"Everything Jim Cramer said on 'Mad Money,' including bullish on Tesla, millennial homebuying"," 7:49  PM ET Wed, 11 Dec 2019",5
690,Cramer's lightning round: Lockheed Martin is a buy," 6:50  PM ET Wed, 11 Dec 2019",5
692,"Recent homebuyer numbers show 'spending is just beginning' for millennials, Cramer says"," 6:37  PM ET Wed, 11 Dec 2019",2
693,Jim Cramer turns bullish on Tesla — 'I'm a true believer',"11:31  PM ET Wed, 11 Dec 2019",1
694,"Art Hogan predicts double-digit 2020 gains, sees 3 groups leading charge"," 3:00  PM ET Wed, 11 Dec 2019",2
695,"Everything Jim Cramer said on 'Mad Money,' including 5G plays, the next bull leg, trade uncertainty"," 7:16  PM ET Tue, 10 Dec 2019",5
696,Cramer: Trade uncertainty gives investors chance to buy stocks at discount," 6:58  PM ET Tue, 10 Dec 2019",3
697,Cramer's lightning round: GW Pharma is a long-term hold," 6:50  PM ET Tue, 10 Dec 2019",5
698,Charts show natural resource sectors can give the bull another leg to run on in 2020: Jim Cramer," 6:34  PM ET Tue, 10 Dec 2019",3
699,"Buy these 5G stock plays if they take a dip from US-China trade news, Jim Cramer says"," 6:18  PM ET Tue, 10 Dec 2019",1
700,"Everything Jim Cramer said on 'Mad Money,' including Fed and tariffs, department store woes, AT&T"," 7:49  PM ET Mon,  9 Dec 2019",5
701,"Jim Cramer: Macy's, Kohl's 'have never felt more irrelevant'"," 7:11  PM ET Mon,  9 Dec 2019",3
702,Cramer's lightning round: Ring the register on Fitbit," 7:05  PM ET Mon,  9 Dec 2019",5
703,"AT&T shares can go 'much, much higher' from here if management can deliver, Jim Cramer says"," 7:51  PM ET Mon,  9 Dec 2019",2
704,"Jim Cramer: Be ready to buy stocks if this Fed, tariff scenario happens"," 7:00  PM ET Mon,  9 Dec 2019",3
705,"Everything Jim Cramer said on 'Mad Money,' including looming earnings, Dec. 15 tariffs, Boot Barn"," 7:14  PM ET Fri,  6 Dec 2019",5
707,Cramer: Trump should go forward with Dec. 15 tariffs," 6:51  PM ET Fri,  6 Dec 2019",1
708,Boot Barn CEO plans to double store count to 500: Western fashion a 'massive retail opportunity'," 6:49  PM ET Fri,  6 Dec 2019",5
709,Cramer's lightning round: Virgin Galactic is 'a bridge too far'," 6:46  PM ET Fri,  6 Dec 2019",3
710,Cramer's week ahead: 'Amazing' jobs report gives us a break from China trade news," 6:46  PM ET Fri,  6 Dec 2019",1
711,"Everything Jim Cramer said on 'Mad Money,' including Americans not investing, Chipotle CEO"," 7:42  PM ET Thu,  5 Dec 2019",1
712,"The second food-prep line gives Chipotle a 'huge advantage' in deliveries, CEO says"," 6:56  PM ET Thu,  5 Dec 2019",5
714,Cramer's lightning round: Buy Wendy's ahead of its breakfast launch," 6:47  PM ET Thu,  5 Dec 2019",5
715,"Jim Cramer blames bears, media for the public's low interest in stocks"," 6:55  PM ET Thu,  5 Dec 2019",1
716,"Everything Jim Cramer said on 'Mad Money,' including market rotation, Robinhood's 10 million users"," 7:47  PM ET Wed,  4 Dec 2019",5
717,Cramer's lightning round: Jack Dorsey's move to Africa is 'ill-advised'," 6:59  PM ET Wed,  4 Dec 2019",1
718,"Robinhood democratizes stocks for younger generations, co-founder says"," 7:31  PM ET Wed,  4 Dec 2019",4
719,"The future of Mattel is about a lot more than making toys, CEO says"," 6:47  PM ET Wed,  4 Dec 2019",2
720,Jim Cramer: Plan to buy these digitization plays 'on the way down'," 6:36  PM ET Wed,  4 Dec 2019",5
721,"Everything Jim Cramer said on 'Mad Money,' including China trade fears, Salesforce co-CEO"," 7:42  PM ET Thu,  5 Dec 2019",5
722,Cramer's lightning round: Tobacco stocks don't deserve your money," 7:03  PM ET Tue,  3 Dec 2019",1
723,Salesforce co-CEO Keith Block downplays profit forecastguidance cut: 'Business looks strong'," 6:35  PM ET Tue,  3 Dec 2019",2
724,Jim Cramer: China trade is a 'much smaller issue' on the market than most people realize," 6:11  PM ET Tue,  3 Dec 2019",3
725,The US markets are 'ridiculously complacent': Strategist," 1:59  AM ET Tue,  3 Dec 2019",1
726,"Everything Jim Cramer said on 'Mad Money,' including bearish feels, 'Medicare for All,' S&P forecast"," 7:17  PM ET Mon,  2 Dec 2019",5
727,Cramer's lightning round: I think you want to sell some Caterpillar," 6:48  PM ET Mon,  2 Dec 2019",1
729,Jim Cramer: We need more 'negativity' in the market before you can start buying again," 6:35  PM ET Mon,  2 Dec 2019",2
730,"Charts show stocks will face pressure through most of Q1 2020, Jim Cramer says"," 6:34  PM ET Mon,  2 Dec 2019",2
731,Cramer: Warren's backtrack on 'Medicare for All' is a boon for this managed-care stock," 6:58  PM ET Mon,  2 Dec 2019",3
732,Cramer Remix: The biggest mistake investors can make with taxes," 6:55  PM ET Wed, 27 Nov 2019",1
733,Owning too many stocks and not enough cash can set you up for failure: Cramer," 6:54  PM ET Wed, 27 Nov 2019",1
734,Cramer: I helped investors through the 2010 flash crash by following one key rule," 6:43  PM ET Wed, 27 Nov 2019",4
736,"Never buy a stock all at once — you'll almost definitely get burned, says Jim Cramer"," 6:27  PM ET Wed, 27 Nov 2019",1
737,"Cramer's top 2 investing rules for bulls, bears and everyone in between"," 6:14  PM ET Wed, 27 Nov 2019",5
738,Agnico Eagle CEO: There won't be a 'substantial' number of new gold mines built," 1:26  PM ET Wed, 27 Nov 2019",2
739,"Everything Jim Cramer said on 'Mad Money,' including market rally, Robinhood impact and Zappos CEO"," 7:24  PM ET Tue, 26 Nov 2019",5
740,Lightning Round Contemplate," 6:48  PM ET Tue, 26 Nov 2019",5
741,Zappos CEO says trade war tariffs haven't impacted pricing yet," 6:50  PM ET Tue, 26 Nov 2019",1
742,"Cramer: The stock market will continue rallying despite trade war, impeachment and other concerns"," 6:52  PM ET Tue, 26 Nov 2019",4
743,How 3D printing company Carbon is trying to shape the future of manufacturing," 3:57  PM ET Tue, 26 Nov 2019",5
744,Credit Suisse sees almost 10% upside in the S&P 500 in 2020,"11:05  PM ET Mon, 25 Nov 2019",1
745,"Everything Jim Cramer said on 'Mad Money,' including mergers, buy Uber, PVH CEO and sell Sonos"," 8:26  PM ET Mon, 25 Nov 2019",5
746,Cramer's lightning round: Take profits and sell some shares of Sonos," 7:23  PM ET Mon, 25 Nov 2019",1
747,CEO of Calvin Klein owner warns China tariffs could soon hit US economy in a meaningful way," 7:01  PM ET Mon, 25 Nov 2019",1
748,"Shares of Uber are now worth buying, Jim Cramer says"," 6:58  PM ET Mon, 25 Nov 2019",5
749,Cramer: Recent mergers show stocks are not as expensive as people think," 6:11  PM ET Mon, 25 Nov 2019",3
751,"The S&P 500's chart is signaling a near-term pullback, technical analyst warns"," 7:02  AM ET Mon, 25 Nov 2019",1
752,"Everything Jim Cramer said on 'Mad Money,' including trade war progress, Clorox and SoFi CEOs"," 7:12  PM ET Fri, 22 Nov 2019",5
753,Cramer's lightning round: Let Tesla shares come down more before buying," 6:50  PM ET Fri, 22 Nov 2019",1
754,SoFi CEO predicts a 'fair amount of consolidation' to come to financial services industry,"11:22  AM ET Tue, 17 Dec 2019",2
755,Clorox CEO: What is good for the environment is good for business," 6:24  PM ET Fri, 22 Nov 2019",4
756,Cramer's week ahead: A short week on Wall Street stuffed with earnings reports," 6:23  PM ET Fri, 22 Nov 2019",1
758,"'We've been in this slow melt higher,' technical analyst says"," 3:35  PM ET Fri, 22 Nov 2019",1
759,"Everything Jim Cramer said on 'Mad Money,' including Schwab-TD Ameritrade talks, weed stocks","11:23  AM ET Mon, 25 Nov 2019",5
760,Cramer's lightning round: Lululemon will be one of the 'retail survivors'," 7:14  PM ET Thu, 21 Nov 2019",5
761,Jim Cramer: Robinhood pushed Charles Schwab to deal for TD Ameritrade," 7:20  PM ET Thu, 21 Nov 2019",4
762,"Facts show talk of recession is way overblown, United Airlines CEO says"," 6:44  PM ET Thu, 21 Nov 2019",1
763,"Sell the pot stocks — the market is 'not what it was cracked up to be,' Jim Cramer says","11:41  AM ET Mon, 25 Nov 2019",1
764,"Everything Jim Cramer said on 'Mad Money,' including retail earnings, Okta and Tableau Software CEOs"," 8:23  PM ET Wed, 20 Nov 2019",5
765,Cramer's lightning round: I do believe that AT&T is a good stock," 6:52  PM ET Wed, 20 Nov 2019",3
766,"Retailers such as Kohl's 'in trouble' without better digital presence or bargains, Cramer says"," 6:43  PM ET Wed, 20 Nov 2019",1
767,"Digital was key difference in rivals Home Depot, Lowe's quarterly reports, Jim Cramer says"," 6:29  PM ET Wed, 20 Nov 2019",4
768,"Everything Jim Cramer said on 'Mad Money,' including trade hits to tech stocks, Salesforce CEO interview"," 7:53  PM ET Tue, 19 Nov 2019",5
769,Cramer's lightning round: I say buy American Tower," 6:49  PM ET Tue, 19 Nov 2019",5
770,Salesforce's Marc Benioff introduces Customer 360 Truth: The 'computer science holy grail'," 6:35  PM ET Tue, 19 Nov 2019",5
771,"Selling software service stocks on trade worries is a 'big mistake,' Jim Cramer says"," 6:50  PM ET Tue, 19 Nov 2019",1
773,Cramer's lightning round: Cannabis ETFs have pulled down GW Pharma," 6:48  PM ET Mon, 18 Nov 2019",1
774,"Airbnb could choose direct listing over IPO in 2020 — 'We don't need the money,' CEO says"," 6:43  PM ET Mon, 18 Nov 2019",1
775,Levi's CEO: 'The best innovation happens when you've got constraints'," 6:37  PM ET Mon, 18 Nov 2019",5
776,"'When tech stocks go down they're not necessarily out,' Jim Cramer says"," 6:50  PM ET Mon, 18 Nov 2019",2
777,"Everything Jim Cramer said on 'Mad Money,' including upcoming earnings and Walmart"," 1:24  PM ET Mon, 18 Nov 2019",5
778,Cramer's lightning round: I'm a buyer of Wells Fargo," 7:53  PM ET Fri, 15 Nov 2019",5
780,"Artificial intelligence has become a driving force in everyday life, says LivePerson CEO"," 6:39  PM ET Fri, 15 Nov 2019",5
781,"Cramer's week ahead: Home Depot, Target and Macy's earnings — plus US-China trade developments"," 7:50  PM ET Fri, 15 Nov 2019",5
782,"Everything Jim Cramer said on 'Mad Money,' including Cisco's quarter, Viacom CEO, trade war divides"," 8:19  PM ET Thu, 14 Nov 2019",1
783,Cramer: Ideological divides could make the US-China trade war 'go on for years'," 7:33  PM ET Thu, 14 Nov 2019",3
784,Cramer's lightning round: I want you to buy CVS," 7:02  PM ET Thu, 14 Nov 2019",5
785,"Jim Cramer: Cisco, enterprise tech stocks 'turned into market punching bags'"," 6:43  PM ET Thu, 14 Nov 2019",4
786,Viacom CEO: We will bring a 'different approach' to compete in streaming," 6:44  PM ET Thu, 14 Nov 2019",5
787,"Everything Jim Cramer said on 'Mad Money,' including Disney+ stats, buying Peloton, 5G rollout, Dexcom"," 7:34  PM ET Wed, 13 Nov 2019",5
788,Cramer's lightning round: I want you to own Coca-Cola," 7:07  PM ET Wed, 13 Nov 2019",5
789,"Big Data is the 'next frontier' for medicine, says Dexcom CEO"," 6:48  PM ET Wed, 13 Nov 2019",5
790,"Investors should wait for Peloton shares to get hit in early 2020 and then 'pounce,' Jim Cramer says"," 4:45  PM ET Thu, 14 Nov 2019",1
791,"Disney shares have more upside, 'even after today's phenomenal run,' Jim Cramer says"," 4:34  PM ET Thu, 14 Nov 2019",3
792,The RealReal CEO says: 'We keep changing' to fend off fakes," 4:40  PM ET Wed, 13 Nov 2019",1
793,"PayPal CFO: Military veterans have leadership, teamwork skills that 'make us a much better company'"," 8:42  PM ET Tue, 12 Nov 2019",4
795,"Everything Jim Cramer said on 'Mad Money,' including Trump tariff threat, PayPal and RealReal execs","11:01  AM ET Wed, 13 Nov 2019",5
796,Cramer's lightning round: I won't rule out this gold company's stock," 7:05  PM ET Tue, 12 Nov 2019",1
797,"I doubt the stock market can absorb much higher tariffs, Jim Cramer says"," 6:41  PM ET Tue, 12 Nov 2019",2
798,"Everything Jim Cramer said on 'Mad Money,' including bear woes, CEO pay"," 7:53  PM ET Mon, 11 Nov 2019",5
799,"The problem with income inequality is not CEO pay — it's everybody else's, Jim Cramer says"," 7:00  PM ET Mon, 11 Nov 2019",1
800,"The bulls are 'running circles around' the bears, Jim Cramer says"," 6:50  PM ET Mon, 11 Nov 2019",3
802,Cramer's lighting round: The fossil fuels sector is in the house of pain," 6:48  PM ET Mon, 11 Nov 2019",2
803,"Norwegian Cruise is taking the environment 'seriously' by eliminating plastic water bottles, CEO says"," 6:24  PM ET Mon, 11 Nov 2019",2
804,$9 billion money manager who called record run sees new highs ahead," 5:00  PM ET Sun, 10 Nov 2019",1
805,"Everything Jim Cramer said on 'Mad Money,' including stocks for kids, Starbucks hiring veterans"," 7:22  PM ET Fri,  8 Nov 2019",5
806,Cramer's lightning round: Microsoft is on its way to $150," 6:53  PM ET Fri,  8 Nov 2019",1
807,Two stocks Jim Cramer says you should add to your kid's portfolio," 6:53  PM ET Fri,  8 Nov 2019",4
808,"Starbucks CEO: We plan to hire 5,000 veterans annually"," 6:53  PM ET Fri,  8 Nov 2019",5
809,"TJX, Ross, Burlington are beneficiaries of 'roadkill losers in the mall,' Jim Cramer says"," 6:53  PM ET Fri,  8 Nov 2019",1
810,"This trend 'can help take us to new highs' this year, says investor"," 4:22  PM ET Fri,  8 Nov 2019",5
811,$9 billion money manager who called record run predicts more new highs for 2019," 3:26  PM ET Fri,  8 Nov 2019",1
812,"Everything Jim Cramer said on 'Mad Money,' including trim holdings, 5G plays, trade developments"," 7:38  PM ET Thu,  7 Nov 2019",5
813,Brixmor Property Group CEO on leveraging online shopping to boost its open-air malls," 7:07  PM ET Thu,  7 Nov 2019",5
814,Cramer's lightning round: Here's what to do with Virgin Galactic," 6:50  PM ET Thu,  7 Nov 2019",5
815,"Qorvo's strong quarter 'breathed new life' into chipmakers, 5G plays, Jim Cramer says"," 6:47  PM ET Thu,  7 Nov 2019",5
817,Jim Cramer: Time to do some strategic selling after a big run in the market," 6:33  PM ET Thu,  7 Nov 2019",4
818,"Everything Jim Cramer said on 'Mad Money,' including HP and Xerox bid, CVS CEO, Uber versus Lyft"," 8:01  PM ET Wed,  6 Nov 2019",5
819,Cramer's lightning round: Do not buy Aurora Cannabis just yet," 6:49  PM ET Wed,  6 Nov 2019",1
820,"Jim Cramer issues buy call on Lyft, remains 'pessimistic' on Uber"," 6:36  PM ET Wed,  6 Nov 2019",1
821,CVS CEO worries teen tobacco use is going the 'wrong way' with vaping crisis," 6:27  PM ET Wed,  6 Nov 2019",1
822,"There is no way Xerox can pull off a deal to buy HP, Jim Cramer says"," 7:50  PM ET Wed,  6 Nov 2019",1
824,"Everything Jim Cramer said on 'Mad Money,' including growth and value stocks, Twilio CEO, AI trading"," 7:55  PM ET Tue,  5 Nov 2019",5
825,Mea culpa — Twilio CEO assures Jim Cramer 'simple math error' will never happen again," 7:22  PM ET Tue,  5 Nov 2019",1
826,Jim Cramer rails on machine trading — 'the whole darned thing is a travesty'," 7:19  PM ET Tue,  5 Nov 2019",5
827,"Misinformation — not voting machine hacks — is biggest threat to 2020 election, FireEye CEO says"," 7:16  PM ET Tue,  5 Nov 2019",1
828,"Cramer's lightning round: Delta is good, but United Airlines is better"," 7:17  PM ET Tue,  5 Nov 2019",3
829,Jim Cramer: These are the 3 high-yield stocks that could drive the Dow higher," 7:33  PM ET Tue,  5 Nov 2019",4
830,"This market is showing 'no mercy' to high-growth stocks in lieu of value names, Jim Cramer says"," 7:06  PM ET Tue,  5 Nov 2019",1
831,"Everything Jim Cramer said on 'Mad Money,' including record highs, trade talks, Wayfair's bad stock"," 8:02  PM ET Mon,  4 Nov 2019",5
832,Cramer's lightning round: The market does not like Okta right now," 7:48  PM ET Mon,  4 Nov 2019",2
833,How electric scooter company OjO plans to shake up the food delivery industry," 6:58  PM ET Mon,  4 Nov 2019",5
834,Jim Cramer: I'm 'suspicious' of the 'trade truce happy talk' with China," 6:58  PM ET Mon,  4 Nov 2019",1
835,"Stay away from Wayfair's 'toxic' stock, Jim Cramer says"," 6:36  PM ET Mon,  4 Nov 2019",1
836,Jim Cramer: The same obstacles that scared investors drove the market to record highs," 6:12  PM ET Mon,  4 Nov 2019",5
837,"Everything Jim Cramer said on 'Mad Money,' including no recession signs, homebuilder stocks to buy"," 8:43  PM ET Fri,  1 Nov 2019",5
839,Cramer's week ahead: Expect more record market highs on another week of earnings," 7:17  PM ET Fri,  1 Nov 2019",3
840,Cramer's lighting round: Buy these stocks to play the 5G rollout," 7:07  PM ET Fri,  1 Nov 2019",5
841,"What Wall Street analysts got wrong about GrubHub, according to Jim Cramer"," 6:36  PM ET Fri,  1 Nov 2019",1
842,"Treat the pullback in homebuilder stocks as an opportunity to 'pounce,' Jim Cramer says"," 7:37  PM ET Fri,  1 Nov 2019",4
843,Stocks surge on strong jobs report—here's what top economists are saying," 1:12  PM ET Fri,  1 Nov 2019",5
844,"Everything Jim Cramer said on 'Mad Money,' including stock picks, Fed and China chatter, Smarties"," 2:07  PM ET Fri,  1 Nov 2019",5
846,Jim Cramer says investors should view Thursday's market pullback 'as a gift'," 7:12  PM ET Thu, 31 Oct 2019",1
847,Columbia Sportswear CEO: There are better 'sourcing countries' than China," 7:12  PM ET Thu, 31 Oct 2019",3
848,Cramer's lightning round: The oil stocks are 'just a bummer'," 6:47  PM ET Thu, 31 Oct 2019",2
849,"Everything Jim Cramer said on 'Mad Money,' including Apple and Facebook earnings"," 7:57  PM ET Wed, 30 Oct 2019",5
850,Jim Cramer: Investors must consider these two critical factors affecting Facebook and Apple," 7:45  PM ET Wed, 30 Oct 2019",3
851,Cramer: This biotech stock could be worth over $100 billion on an FDA approval," 7:36  PM ET Wed, 30 Oct 2019",1
852,Cramer's lightning round: Marvell Technology is the best play on 5G," 7:16  PM ET Wed, 30 Oct 2019",5
853,Jim Cramer: Spotify has 'no bear case' after 'game changer' quarter," 6:44  PM ET Wed, 30 Oct 2019",1
854,"Wingstop CEO bets on advertising, digital and delivery in the wing chain's 'bright future'"," 7:08  PM ET Wed, 30 Oct 2019",4
855,"Everything Jim Cramer said on 'Mad Money,' including Uber lockup, 'junk' Chinese IPOs, buy Twitter"," 7:42  PM ET Tue, 29 Oct 2019",1
856,Zebra Technologies CEO: We're moving more supply chains out of China as new tariffs loom," 6:55  PM ET Tue, 29 Oct 2019",1
857,Cramer's lightning round: Don't expect anything great from GE's quarter," 6:47  PM ET Tue, 29 Oct 2019",3
858,"Uber's lockup expiration could 'hobble the entire market' even more than Beyond Meat, Cramer warns"," 6:34  PM ET Tue, 29 Oct 2019",1
859,Jim Cramer says a company 'will try to acquire' Twitter if the stock keeps tumbling," 6:28  PM ET Tue, 29 Oct 2019",1
861,"Everything Jim Cramer said on 'Mad Money,' including S&P 500 highs, Microsoft JEDI contract, consumer","11:06  AM ET Tue, 29 Oct 2019",5
862,Jim Cramer: 5 reasons why cyclical stocks are showing resilience and may go higher," 8:16  PM ET Mon, 28 Oct 2019",4
863,"JEDI contract means a lot more for Microsoft than for Amazon, Jim Cramer says"," 7:13  PM ET Mon, 28 Oct 2019",1
864,"Cramer's lightning round: Wendy's is in 'good shape,' shares are oversold"," 6:50  PM ET Mon, 28 Oct 2019",2
865,Jim Cramer says performances of these luxury brand names show the 'consumer's in great shape'," 6:42  PM ET Mon, 28 Oct 2019",5
866,Jim Cramer breaks down what's driving the stock market's rally toward all-time highs," 6:26  PM ET Mon, 28 Oct 2019",5
868,"Cramer's week ahead: Alphabet, Beyond Meat, GM, Facebook and Apple earnings — plus the Fed"," 7:33  PM ET Fri, 25 Oct 2019",5
869,"Everything Jim Cramer said 'Mad Money,' including next week's earnings, American Airlines CEO"," 7:33  PM ET Fri, 25 Oct 2019",1
870,Cramer's lightning round: I don't want to be in Del Taco when McDonald's is down," 7:09  PM ET Fri, 25 Oct 2019",1
871,Sallie Krawcheck: 'More money in the hands of women' is one of the best ways to improve the economy," 6:57  PM ET Fri, 25 Oct 2019",5
872,"Assessing the Honeywell spinoff one year later — stocks to buy and not, according to Jim Cramer"," 7:10  PM ET Fri, 25 Oct 2019",4
873,"American Airlines CEO says 737 Max 'damages' should hit Boeing shareholders, not American's"," 6:33  PM ET Fri, 25 Oct 2019",1
874,S&P returns could be 'quite low' for the next few years: Investor," 4:30  AM ET Fri, 25 Oct 2019",3
875,"Everything Jim Cramer said on 'Mad Money,' including earnings, China winners, Centene CEO","12:14  PM ET Fri, 25 Oct 2019",5
876,"Some software stocks are worth buying on the pullback, according to Jim Cramer","10:17  AM ET Fri, 25 Oct 2019",3
877,Cramer's lightning: Aurora is just a speculative stock," 7:33  PM ET Thu, 24 Oct 2019",3
878,"How to decipher stocks worth owning this earnings season, according to Jim Cramer"," 6:43  PM ET Thu, 24 Oct 2019",5
879,Centene CEO predicts the Supreme Court will uphold Obamacare 7-2 if it gets there," 6:42  PM ET Thu, 24 Oct 2019",1
880,"Everything Jim Cramer said on 'Mad Money,' including earnings, CSX and ServiceNow CEOs"," 8:50  PM ET Wed, 23 Oct 2019",5
881,Cramer's lightning round: Exact Sciences is close to calling a bottom," 7:47  PM ET Wed, 23 Oct 2019",2
883,"ServiceNow CEO: Businesses still spending on digital despite Brexit, macro headwinds"," 7:51  PM ET Wed, 23 Oct 2019",1
884,Companies founded only by women receive 3% of venture capital. This firm aims to change that," 6:56  PM ET Wed, 23 Oct 2019",1
885,"Earnings season has reached 'maximum disorientation,' Jim Cramer says"," 6:34  PM ET Wed, 23 Oct 2019",2
886,CSX CEO explains how a new business model brought efficiency to the railroad company," 6:25  PM ET Wed, 23 Oct 2019",5
887,"This investment 'could do a lot of damage to your portfolio,' $9 billion money manager warns"," 3:06  PM ET Wed, 23 Oct 2019",1
888,"Everything Jim Cramer said on 'Mad Money,' including Biogen drug, Hasbro and Logitech, Beyond Meat"," 9:07  PM ET Tue, 22 Oct 2019",5
890,"Hasbro in Q4 has 'come out of the gates' strongly, CEO Brian Goldner tells Jim Cramer"," 6:53  PM ET Tue, 22 Oct 2019",1
891,Cramer's lightning round: Hold on to this 'never-talked-about company'," 6:51  PM ET Tue, 22 Oct 2019",5
892,"Lightning will never 'strike' an index fund like it did Biogen on Tuesday, Jim Cramer says"," 7:20  PM ET Tue, 22 Oct 2019",5
893,"'Stay the course': Stocks can climb another 10% by end of 2020, says money manager"," 3:29  PM ET Tue, 22 Oct 2019",2
894,"Everything Jim Cramer said on 'Mad Money,' including Apple's records, S&P 500 projections, StockX"," 8:03  PM ET Mon, 21 Oct 2019",5
895,Cramer's lightning round: The secret to buying Merck around earnings," 7:07  PM ET Mon, 21 Oct 2019",5
896,"Apple is on fire and helping the chip stocks rally, Jim Cramer says"," 7:07  PM ET Mon, 21 Oct 2019",5
897,Jim Cramer warns that this bearish scenario in the S&P 500 is 'on the table'," 7:07  PM ET Mon, 21 Oct 2019",1
898,StockX's new CEO tells Jim Cramer going public is 'certainly our objective as a company'," 8:30  AM ET Tue, 22 Oct 2019",4
899,"Everything Jim Cramer said on 'Mad Money,' including playing earnings week, FAANG audit, bank stocks"," 7:44  PM ET Fri, 18 Oct 2019",5
900,"Cramer's week ahead: McDonald's, Amazon, Chipotle, Caterpillar, Boeing and more earnings reports"," 6:58  PM ET Fri, 18 Oct 2019",5
901,Cramer's lightning round: Beyond Meat is still a sell," 6:49  PM ET Fri, 18 Oct 2019",5
902,"Let's swap Netflix for Microsoft, Jim Cramer says in FAANG audit"," 7:13  PM ET Fri, 18 Oct 2019",1
903,Why Fundstrat's managing partner says 2019 is the best year in 20 years for markets,"12:56  PM ET Fri, 18 Oct 2019",5
905,"Everything Jim Cramer said on 'Mad Money,' including earnings, trade, Netflix and Arrowhead CEO"," 7:33  PM ET Thu, 17 Oct 2019",5
906,Cramer's lightning round: The market determined SmileDirectClub is a sell," 7:09  PM ET Thu, 17 Oct 2019",5
907,Jim Cramer says stock market will 'blast' past current levels if trade questions are resolved," 6:47  PM ET Thu, 17 Oct 2019",3
908,"Do not own or short Netflix here — 'ring the register,' Jim Cramer says"," 6:30  PM ET Thu, 17 Oct 2019",1
909,"'These not-as-bad-as-feared quarters are good news for shareholders,' Jim Cramer says","11:24  AM ET Fri, 18 Oct 2019",3
910,"Everything Jim Cramer said on 'Mad Money,' including big bank earnings, Marc Benioff on capitalism"," 8:04  PM ET Wed, 16 Oct 2019",5
912,Cramer's lightning round: Canopy needs a packaged goods CEO," 7:57  PM ET Wed, 16 Oct 2019",1
913,Salesforce's Marc Benioff on the future of Big Tech: 'Capitalism needs guardrails'," 6:48  PM ET Wed, 16 Oct 2019",3
914,"The big banks have become the ideal stocks for this market, Jim Cramer says"," 6:10  PM ET Wed, 16 Oct 2019",5
915,"Overcoming these three things could spark a year-end rally, Ned Davis Research says","12:01  PM ET Wed, 16 Oct 2019",2
916,Experts are split on where the S&P 500 is headed next as earnings kick off," 4:38  PM ET Mon, 14 Oct 2019",1
